Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Высота потолков,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Жилая площадь,Дополнительно,Стоимость ремонта,В доме,Запланирован снос
4800000,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_20_m_14_et._7252855332?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ3dm5UOHpYREJCRWdiTHRpIjt9-Wy3oT8AAAA,студия,20 м²,,1 из 4,,,совмещенный,во двор,евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, водонагреватель",свободная,,кирпичный,1900,4,нет,нет,закрытая территория,открытая во дворе,2.8 м,,,,,,18 м²,гардеробная,,,
7799000,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/2-k._kvartira_416_m_55_et._7514482590?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ3dm5UOHpYREJCRWdiTHRpIjt9-Wy3oT8AAAA,2,41.6 м²,5 м²,5 из 5,,изолированные,совмещенный,"на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, водонагреватель",свободная,возможна ипотека,кирпичный,1963,5,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,,,,,,27.1 м²,гардеробная,,газ,
6500000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_303_m_35_et._7302684608?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,30.3 м²,5.3 м²,3 из 5,балкон,,совмещенный,на улицу,евро,,кухня,водонагреватель,свободная,,блочный,1962,5,нет,нет,,открытая во дворе,2.5 м,,,,,,17.9 м²,,,газ,
9300000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_505_m_727_et._7789449759?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,50.5 м²,9.3 м²,7 из 27,,изолированные,раздельный,на улицу,косметический,есть,кухня,водонагреватель,свободная,,монолитный,2021,27,3,,детская площадка,открытая во дворе,0 м,,,,,,26.2 м²,,от 649 000 ₽ за 50.5 м²,консьерж,
11000000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_66_m_19_et._7772878719?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,3,66 м²,8 м²,1 из 9,,изолированные,совмещенный,"во двор, на улицу",евро,,,,свободная,,панельный,,9,1,,,,2.4 м,,,,,,,гардеробная,,газ,
23000000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_816_m_1213_et._7281067141?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,3,81.6 м²,21 м²,12 из 13,лоджия,изолированные,раздельный,во двор,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,,монолитный,2020,13,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,2.8 м,,,,,,43 м²,,,,
5550000,https://www.avito.ru/sankt-peterburg_kolpino/kvartiry/3-k._kvartira_424_m_25_et._4560463958?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,3,42.4 м²,6 м²,2 из 5,,"изолированные, смежные",совмещенный,"во двор, на улицу, на солнечную сторону",косметический,,кухня,,свободная,,панельный,1964,5,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,2.3 м,,,,,,30 м²,,от 545 000 ₽ за 42.4 м²,газ,
8850000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_456_m_49_et._7680842273?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,45.6 м²,6.2 м²,4 из 9,лоджия,изолированные,раздельный,"на улицу, на солнечную сторону",евро,,"кухня, хранение одежды",,свободная,возможна ипотека,панельный,1974,9,1,,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,,,,,,26.8 м²,,,"мусоропровод, газ",
35000000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1188_m_36_et._7724632633?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,3,118.8 м²,20 м²,3 из 6,"балкон, лоджия",изолированные,раздельный,,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, водонагреватель",свободная,,монолитно-кирпичный,2007,6,1,,закрытая территория,за шлагбаумом во дворе,3 м,,,,,,,,,консьерж,
16500000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_699_m_78_et._7598446517?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,69.9 м²,12 м²,7 из 8,балкон,изолированные,совмещенный,"во двор, на улицу",требует ремонта,,"кухня, хранение одежды",,свободная,возможна ипотека,монолитно-кирпичный,2010,8,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,2.8 м,,,,,,17.5 м²,"гардеробная, панорамные окна",от 1 398 000 ₽ за 69.9 м²,консьерж,
22500000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_894_m_34_et._7246244949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,3,89.4 м²,8.4 м²,3 из 4,"балкон, лоджия",изолированные,раздельный,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, посудомоечная машина",свободная,возможна ипотека,кирпичный,,4,,,детская площадка,открытая во дворе,3 м,,,,,,,"гардеробная, панорамные окна",,мусоропровод,
12900000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_626_m_34_et._7777303223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,62.6 м²,13.6 м²,3 из 4,балкон,изолированные,раздельный,"на улицу, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2018,4,1,нет,"закрытая территория, детская площадка","подземная, открытая во дворе",3 м,,,,,,30.2 м²,панорамные окна,от 1 252 000 ₽ за 62.6 м²,,
8500000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37_m_14_et._7678399301?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,37 м²,15.5 м²,1 из 4,балкон,,совмещенный,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места",холодильник,свободная,возможна ипотека,монолитный,2021,4,1,1,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,2.8 м,,,,,,10.2 м²,,,,
9450000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_323_m_2020_et._7723201007?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,32.3 м²,8.7 м²,20 из 20,лоджия,,"совмещенный, раздельный","на улицу, на солнечную сторону",требует ремонта,,,,свободная,,монолитный,2022,20,1,1,"закрытая территория, детская площадка, спортивная площадка",наземная многоуровневая,3 м,,,,,,14.5 м²,гардеробная,от 646 000 ₽ за 32.3 м²,,
