Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Высота потолков,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Жилая площадь,Дополнительно,Стоимость ремонта,В доме,Запланирован снос
22600000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_928_m_1026_et._4033924365?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,3,92.8 м²,12.9 м²,10 из 26,лоджия,изолированные,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитно-кирпичный,2008,26,1,2,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",,,,,,,,,,,
7509600,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_193_m_217_et._7719815299?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,19.3 м²,,2 из 17,,,,,,,,,,,монолитный,,17,1,1,"закрытая территория, детская площадка, спортивная площадка",,2.9 м,предчистовая,ЖК «НОВАЯ ЗЕМЛЯ»,Блок 11.1 (2 этап),ДДУ по ФЗ 214,Сдача в 2 кв. 2032,,,,,
11500000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32_m_615_et._7771034502?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,32 м²,13 м²,6 из 15,,,совмещенный,на улицу,евро,есть,"кухня, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2024,15,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,11.1 м²,,,,
37900000,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_113_m_27_et._7769458260?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,4,113 м²,12 м²,2 из 7,,"изолированные, смежные",раздельный,"во двор, на улицу",дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, посудомоечная машина",свободная,возможна ипотека,кирпичный,1910,7,1,нет,закрытая территория,"подземная, открытая во дворе, за шлагбаумом во дворе",3.2 м,,,,,,64 м²,гардеробная,,,
23500000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_881_m_44_et._7772061134?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,88.1 м²,24 м²,4 из 4,лоджия,изолированные,совмещенный,"во двор, на улицу",косметический,есть,,,свободная,,монолитно-кирпичный,2025,4,нет,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",5.1 м,,,,,,40.2 м²,,от 1 133 000 ₽ за 88.1 м²,,
7950000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_521_m_78_et._7706195982?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,52.1 м²,14 м²,7 из 8,балкон,,совмещенный,"во двор, на улицу",,,,,договор долевого участия,,монолитный,,8,,1,"детская площадка, спортивная площадка",,2.7 м,предчистовая,Квартал «Брусника в Новоселье»,2 очередь,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,24.3 м²,,,,
17500000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_568_m_125_et._7527487678?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,56.8 м²,9.1 м²,1 из 25,,изолированные,раздельный,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места",холодильник,свободная,возможна ипотека,панельный,2016,25,2,1,"закрытая территория, детская площадка, спортивная площадка",,2.8 м,,,,,,33.7 м²,,,консьерж,
15080000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_533_m_15_et._7343102519?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,53.3 м²,5.8 м²,1 из 5,,"изолированные, смежные",раздельный,на улицу,косметический,,,,свободная,возможна ипотека,кирпичный,1961,5,,,,,2.5 м,,,,,,36.6 м²,,,,
11902800,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_436_m_35_et._3395261935?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,43.6 м²,,3 из 5,балкон,,,,,,,,,возможна ипотека,монолитно-кирпичный,,5,,,,,2.9 м,без отделки,ЖК «Loft у Озера»,Участок 12,другое,Сдан 3 кв. 2024,,,,,
28000000,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_103_m_525_et._7647380562?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,4,103 м²,15.4 м²,5 из 25,лоджия,"изолированные, смежные",раздельный,"во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2018,25,2,1,"детская площадка, спортивная площадка","подземная, наземная многоуровневая, открытая во дворе",2.8 м,,,,,,65.4 м²,гардеробная,,,
14500000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_453_m_47_et._7727183543?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,45.3 м²,13.9 м²,4 из 7,,,совмещенный,во двор,косметический,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,,кирпичный,2005,7,нет,1,закрытая территория,"подземная, открытая во дворе, за шлагбаумом во дворе",2.9 м,,,,,,18.7 м²,гардеробная,от 582 000 ₽ за 45.3 м²,газ,
16254000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_631_m_19_et._7562629453?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,2,63.1 м²,17.2 м²,1 из 9,,изолированные,совмещенный,,требует ремонта,,,,свободная,возможна ипотека,кирпичный,2023,9,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",4.2 м,,,,,,40.2 м²,панорамные окна,от 1 262 000 ₽ за 63.1 м²,консьерж,
25840000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_855_m_711_et._7613630878?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,85.5 м²,29 м²,7 из 11,лоджия,изолированные,раздельный,,евро,,,,свободная,,монолитный,,11,,,,,,,,,,,30 м²,,,,
5380736,https://www.avito.ru/sankt-peterburg_krasnoye_selo/kvartiry/1-k._kvartira_421_m_713_et._7752998385?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,42.1 м²,23.4 м²,7 из 13,,,совмещенный,во двор,,,,,,возможна ипотека,монолитный,,13,1,1,,открытая во дворе,2.7 м,без отделки,ЖК «А101 Лаголово»,Корпус 1.3.4.4,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,11.4 м²,,,,
10880000,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_278_m_46_et._7484087502?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,27.8 м²,,4 из 6,,,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитный,2025,6,2,нет,,,,,,,,,14.4 м²,,,,
6000000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_376_m_214_et._7748955148?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,37.6 м²,18.7 м²,2 из 14,лоджия,,совмещенный,во двор,,,,,переуступка,возможна ипотека,панельный,,14,2,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",,чистовая,ЖК «Город Звёзд»,Корпус 4,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,10.5 м²,панорамные окна,,,
14600000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_651_m_1217_et._7786903420?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,65.1 м²,10.1 м²,12 из 17,,изолированные,раздельный,на улицу,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитный,2009,17,2,1,"закрытая территория, детская площадка","подземная, за шлагбаумом во дворе",2.7 м,,,,,,36 м²,,,,
7340220,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_208_m_222_et._7719486561?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,20.8 м²,,2 из 22,,,совмещенный,во двор,,,,,,,монолитный,,22,2,1,"закрытая территория, детская площадка, спортивная площадка",,2.9 м,предчистовая,ЖК «НОВАЯ ЗЕМЛЯ»,Блок 11.1 (2 этап),ДДУ по ФЗ 214,Сдача в 2 кв. 2032,9.7 м²,,,,
10000000,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_28_m_24_et._7720879637?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,28 м²,,2 из 4,,,совмещенный,"на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,,кирпичный,1886,4,нет,нет,"закрытая территория, детская площадка",открытая во дворе,3.2 м,,,,,,26.6 м²,,,,
13490000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_775_m_1216_et._7599661813?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,3,77.5 м²,14.7 м²,12 из 16,балкон,изолированные,раздельный,"во двор, на улицу",косметический,,,,альтернативная,возможна ипотека,панельный,1994,16,1,1,,,2.7 м,,,,,,45.7 м²,,,,
5600000,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_269_m_918_et._7817412718?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,26.9 м²,,9 из 18,балкон,,совмещенный,во двор,косметический,,"кухня, хранение одежды, спальные места",холодильник,свободная,возможна ипотека,монолитно-кирпичный,2018,18,1,1,"детская площадка, спортивная площадка",открытая во дворе,2.8 м,,,,,,16.6 м²,,от 346 000 ₽ за 26.9 м²,,
34500000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_853_m_1224_et._7618177196?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,85.3 м²,23.4 м²,12 из 24,,изолированные,раздельный,"во двор, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитный,2021,24,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,2.8 м,,,,,,40.6 м²,"гардеробная, панорамные окна",,,
9450000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_498_m_49_et._7696163574?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,49.8 м²,9 м²,4 из 9,,изолированные,совмещенный,"во двор, на улицу",косметический,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,панельный,1974,9,1,нет,"детская площадка, спортивная площадка",открытая во дворе,2.7 м,,,,,,32 м²,гардеробная,от 640 000 ₽ за 49.8 м²,"мусоропровод, газ",да
5185290,https://www.avito.ru/sankt-peterburg_krasnoye_selo/kvartiry/1-k._kvartira_414_m_313_et._7753678711?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,41.4 м²,16.2 м²,3 из 13,,,совмещенный,во двор,,,,,,возможна ипотека,монолитный,,13,1,1,,открытая во дворе,2.7 м,без отделки,ЖК «А101 Лаголово»,Корпус 1.3.4.4,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,14.5 м²,,,,
10922850,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_27_m_910_et._7628335323?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,27 м²,,9 из 10,,,совмещенный,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,монолитно-кирпичный,2024,10,4,4,"закрытая территория, спортивная площадка",за шлагбаумом во дворе,2.8 м,,,,,,23.1 м²,гардеробная,,консьерж,да
7700000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_378_m_524_et._7584991118?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,1,37.8 м²,10 м²,5 из 24,балкон,,совмещенный,на улицу,евро,,,,свободная,возможна ипотека,кирпичный,2014,24,2,1,,подземная,,,,,,,13.2 м²,,,,
16660000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_90_m_56_et._7618447964?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,90 м²,8.7 м²,5 из 6,,изолированные,раздельный,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,,кирпичный,1894,6,1,,закрытая территория,за шлагбаумом во дворе,2.9 м,,,,,,57.4 м²,,от 1 157 000 ₽ за 90 м²,газ,
7200000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_832_m_13_et._7672282266?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,83.2 м²,9.3 м²,1 из 3,,изолированные,раздельный,во двор,евро,,,,свободная,возможна ипотека,кирпичный,1956,3,нет,нет,,,3.3 м,,,,,,57.3 м²,,,,
29253772,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_972_m_313_et._7233313378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,97.2 м²,29.2 м²,3 из 13,лоджия,,совмещенный,во двор,,,,,,,монолитно-кирпичный,,13,,,,,,предчистовая,ЖК «Respect»,Дом 1,ДДУ по ФЗ 214,Сдача в 1 кв. 2026,45.5 м²,,,,
5995000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_231_m_34_et._7678784966?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,23.1 м²,6 м²,3 из 4,,,совмещенный,во двор,евро,,кухня,стиральная машина,свободная,возможна ипотека,монолитный,1960,4,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,,,,,,13 м²,,,газ,
12500000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_539_m_1013_et._4552962746?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,53.9 м²,8.2 м²,10 из 13,лоджия,изолированные,раздельный,"во двор, на улицу",евро,,,,свободная,возможна ипотека,кирпичный,1980,13,2,1,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,,,,,,28.2 м²,,,мусоропровод,
17490000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_75_m_1425_et._7658288632?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,75 м²,15 м²,14 из 25,лоджия,изолированные,совмещенный,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,,25,2,2,"детская площадка, спортивная площадка","подземная, открытая во дворе",2.8 м,,,,,,,гардеробная,,консьерж,
29500100,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1139_m_46_et._4090135423?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,3,113.9 м²,25.4 м²,4 из 6,,изолированные,совмещенный,,требует ремонта,,,,свободная,,кирпичный,2023,6,,,,,,,,,,,55 м²,,от 2 278 000 ₽ за 113.9 м²,,
3138475,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_193_m_810_et._7758180655?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,19.3 м²,,8 из 10,,,,,,,,,,,монолитный,,10,1,1,,,,без отделки,UР-квартал «Новый Московский»,Корпус 4,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,11.5 м²,,,,
7800000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_331_m_1420_et._7831227647?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,33.1 м²,10.1 м²,14 из 20,балкон,,раздельный,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,монолитно-кирпичный,2017,20,1,1,"детская площадка, спортивная площадка","подземная, открытая во дворе",2.8 м,,,,,,14.9 м²,,от 426 000 ₽ за 33.1 м²,,
9099000,https://www.avito.ru/sankt-peterburg_sestroretsk/kvartiry/2-k._kvartira_574_m_15_et._7634723966?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,2,57.4 м²,6.2 м²,1 из 5,,смежные,раздельный,на улицу,косметический,,"кухня, хранение одежды, спальные места",,свободная,возможна ипотека,кирпичный,1966,5,нет,нет,,открытая во дворе,2.5 м,,,,,,41.7 м²,,,,
22670000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1025_m_413_et._4416464732?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,3,102.5 м²,12 м²,4 из 13,лоджия,изолированные,раздельный,"во двор, на улицу",евро,,,,свободная,возможна ипотека,кирпичный,1999,13,1,1,,,2.6 м,,,,,,57 м²,,,,
18500000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_613_m_315_et._7762172958?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,61.3 м²,20.6 м²,3 из 15,балкон,изолированные,раздельный,"на улицу, на солнечную сторону",требует ремонта,,,,свободная,,монолитный,2024,15,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,3 м,,,,,,,панорамные окна,от 1 226 000 ₽ за 61.3 м²,,
10482200,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_269_m_1010_et._7628802499?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,26.9 м²,,10 из 10,,,совмещенный,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,,монолитно-кирпичный,2024,10,4,4,"закрытая территория, спортивная площадка",за шлагбаумом во дворе,2.8 м,,,,,,23 м²,гардеробная,,консьерж,
6200000,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_25_m_25_et._3593088245?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,25 м²,,2 из 5,,,совмещенный,на улицу,дизайнерский,,,стиральная машина,свободная,,кирпичный,1917,5,1,нет,,открытая во дворе,3.4 м,,,,,,19 м²,,,,
35990000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_90_m_1111_et._7677646338?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,90 м²,28 м²,11 из 11,лоджия,изолированные,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,,монолитно-кирпичный,2023,11,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,3 м,,,,,,45 м²,"гардеробная, панорамные окна",,консьерж,
36000000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1084_m_810_et._4938425129?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,108.4 м²,46 м²,8 из 10,лоджия,изолированные,"совмещенный, раздельный","во двор, на улицу",евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитный,2017,10,1,1,"закрытая территория, детская площадка, спортивная площадка",наземная многоуровневая,2.8 м,,,,,,51 м²,гардеробная,,консьерж,
