Цена,Ссылка,Количество комнат,Общая площадь,Жилая площадь,Этаж,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Запланирован снос,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Площадь кухни,Тип комнат,Отделка,Название новостройки,Тип участия,Срок сдачи,"Корпус, строение",Стоимость ремонта,Дополнительно,В доме
4900000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_273_m_69_et._4634810200?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,27.3 м²,13.7 м²,6 из 9,балкон,2.6 м,совмещенный,"во двор, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,монолитно-кирпичный,2017,да,9,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,,,,,,,,,,
11800000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_681_m_812_et._7255446756?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,68.1 м²,41.7 м²,8 из 12,балкон,2.8 м,совмещенный,на улицу,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2025,,12,1,1,,открытая во дворе,11.1 м²,изолированные,,,,,,,,
8162000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_771_m_216_et._7297552146?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,77.1 м²,,2 из 16,лоджия,,раздельный,во двор,,,,,,,монолитный,,,16,,,,,11.4 м²,,без отделки,ЖК «Столетов» (Второй дом),ДДУ по ФЗ 214,Сдача в 4 кв. 2026,,,,
17500000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_902_m_27_et._7779360223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,90.2 м²,,2 из 7,,2.8 м,,,,,,,договор долевого участия,возможна ипотека,монолитный,,,7,,1,"детская площадка, спортивная площадка",,5 м²,,предчистовая,Квартал «На Декабристов»,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,Дом 6-2 (7 очередь),,,
4900000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_44_m_45_et._7752954372?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,44 м²,30.7 м²,4 из 5,балкон,2.5 м,совмещенный,во двор,косметический,,,,свободная,возможна ипотека,панельный,1967,,5,нет,нет,,открытая во дворе,5.9 м²,смежные,,,,,,от 377 000 ₽ за 44 м²,,
29989000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_1113_m_48_et._7564000078?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,111.3 м²,49.5 м²,4 из 8,"балкон, лоджия",3.3 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,2021,,8,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,22.4 м²,изолированные,,,,,,,"гардеробная, панорамные окна",
3900000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_414_m_410_et._7781370787?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,41.4 м²,16.6 м²,4 из 10,балкон,2.7 м,раздельный,на улицу,евро,,хранение одежды,,альтернативная,возможна ипотека,панельный,2019,,10,,1,детская площадка,открытая во дворе,11 м²,,,,,,,,гардеробная,
9000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_744_m_2125_et._7439363000?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,74.4 м²,,21 из 25,,,,,,,,,,,монолитный,,,25,,,,,,,предчистовая,ЖК «Черемушки» на Приморской,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,Дом 1,,,
5200000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_356_m_312_et._4887911137?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,35.6 м²,20 м²,3 из 12,,2.6 м,раздельный,на улицу,требует ремонта,,,,свободная,возможна ипотека,кирпичный,1973,,12,1,,,открытая во дворе,10 м²,,,,,,,,,
3900000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_296_m_55_et._7705750209?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,29.6 м²,18 м²,5 из 5,,,совмещенный,на улицу,косметический,,,,свободная,возможна ипотека,кирпичный,1963,,5,,,,открытая во дворе,6 м²,,,,,,,,,
6780000.0,https://www.avito.ru/novosibirsk/kvartiry/svob._planirovka_46_m_917_et._7729346260?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,свободная планировка,46 м²,35.7 м²,9 из 17,лоджия,2.7 м,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2023,,17,1,1,"детская площадка, спортивная площадка","подземная, открытая во дворе",,,,,,,,от 644 000 ₽ за 46 м²,панорамные окна,
16460000.0,https://www.avito.ru/novosibirsk/kvartiry/4-k._kvartira_111_m_411_et._7654614368?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,4,111 м²,64 м²,4 из 11,лоджия,,совмещенный,во двор,евро,,"кухня, хранение одежды, спальные места",посудомоечная машина,свободная,возможна ипотека,кирпичный,1999,,11,1,нет,"детская площадка, спортивная площадка",за шлагбаумом во дворе,12 м²,изолированные,,,,,,,,
6250000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_315_m_1317_et._7605528045?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,31.5 м²,27.9 м²,13 из 17,лоджия,2.7 м,совмещенный,на улицу,дизайнерский,есть,,,свободная,возможна ипотека,панельный,2023,да,17,1,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",,,,,,,,,,консьерж
6200000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_42_m_1119_et._4368540610?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,42 м²,16.2 м²,11 из 19,балкон,2.7 м,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,кирпичный,2024,,19,1,1,"детская площадка, спортивная площадка",открытая во дворе,13.9 м²,,,,,,,от 588 000 ₽ за 42 м²,,
17500000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_922_m_915_et._7588191664?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,92.2 м²,70 м²,9 из 15,"балкон, лоджия",270 м,"совмещенный, раздельный","во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,кирпичный,2013,,15,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,18 м²,изолированные,,,,,,,,консьерж
8500000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_389_m_1421_et._7688058233?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,38.9 м²,15.6 м²,14 из 21,балкон,2.8 м,совмещенный,"во двор, на солнечную сторону",евро,,"кухня, спальные места","кондиционер, стиральная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,2024,,21,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,10.3 м²,,,,,,,,,консьерж
5300000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_566_m_13_et._7558627953?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiM3k3c3Zka3JzZTB5Yzg5YW5pNGs0MG5idnQwb3FnZyI7fW-SP_FzAAAA,3,56.6 м²,42.1 м²,1 из 3,,2.6 м,совмещенный,"во двор, на улицу",евро,,"кухня, хранение одежды",,свободная,возможна ипотека,кирпичный,1932,,3,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,6.6 м²,изолированные,,,,,,,,
1850000.0,https://www.avito.ru/novosibirsk/kvartiry/apartamenty-studiya_278_m_1417_et._2738454524?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,27.8 м²,,14 из 17,,,совмещенный,во двор,,,,,переуступка,,монолитно-кирпичный,,,17,4,,закрытая территория,"подземная, за шлагбаумом во дворе",,,без отделки,Комплекс апартаментов «Pool House»,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,,от 475 000 ₽ за 27.8 м²,,
4300000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_273_m_1425_et._7604814689?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,27.3 м²,14.7 м²,14 из 25,лоджия,,совмещенный,"во двор, на улицу",евро,,,,свободная,,панельный,2021,,25,1,1,,,,,,,,,,,,
7150000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_464_m_325_et._4103713053?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,46.4 м²,15 м²,3 из 25,лоджия,0 м,совмещенный,,,,,,договор долевого участия,возможна ипотека,монолитно-кирпичный,,,25,1,,,,15.5 м²,,предчистовая,ЖК «‎Салют»,ДДУ по ФЗ 214,Сдача в 1 кв. 2027,Дом 2,,,
6250000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_531_m_25_et._7637249636?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiM3k3c3Zka3JzZTB5Yzg5YW5pNGs0MG5idnQwb3FnZyI7fW-SP_FzAAAA,2,53.1 м²,37 м²,2 из 5,балкон,2.5 м,раздельный,"во двор, на улицу",косметический,,,,свободная,,панельный,1982,,5,нет,нет,детская площадка,открытая во дворе,10 м²,изолированные,,,,,,от 455 000 ₽ за 53.1 м²,,
5150000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_276_m_1825_et._7768265459?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,27.6 м²,,18 из 25,,,,,,,,,,,монолитный,,,25,,,,,,,предчистовая,Дом у Леса «Белкин»,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,,,,
5678500.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._apartamenty_277_m_1014_et._7599003623?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,27.7 м²,,10 из 14,,,,на улицу,,,,,,,кирпичный,,,14,,,,,,,без отделки,Апартаменты «МАКИ»,другое,Сдан 2 кв. 2025,,,,
10930000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_466_m_213_et._4060631325?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,46.6 м²,43.6 м²,2 из 13,,,,,,,,,,,монолитный,,,13,,,,,,,предчистовая,ЖК «Unity Center»,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,Секция 1.1-1.2,,,
4600000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_203_m_510_et._7308110855?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,20.3 м²,,5 из 10,лоджия,,совмещенный,,,,,,переуступка,возможна ипотека,кирпичный,,,10,2,1,закрытая территория,за шлагбаумом во дворе,,,предчистовая,Клубный комплекс «Новаторы»,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,Секция 3,от 347 000 ₽ за 20.3 м²,,
28000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_116_m_717_et._7759996067?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,116 м²,30 м²,7 из 17,лоджия,2.9 м,раздельный,во двор,дизайнерский,,,,свободная,,монолитный,2024,,17,,,,,30 м²,"изолированные, смежные",,,,,,,,
5830000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_242_m_68_et._7779608904?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,24.2 м²,9.9 м²,6 из 8,балкон,2.7 м,совмещенный,во двор,,,,,договор долевого участия,,монолитный,,,8,,1,"детская площадка, спортивная площадка",,,,предчистовая,Микрорайон «Европейский Берег»,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,Дом 44,,,
25090000.0,https://www.avito.ru/novosibirsk/kvartiry/5-k._kvartira_1276_m_2427_et._7740169846?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,5,127.6 м²,,24 из 27,,,,,,,,,,,монолитный,,,27,,,,,,изолированные,предчистовая,ЖК «Невский»,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,,,,
9828000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._apartamenty_546_m_1214_et._7599682126?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,54.6 м²,,12 из 14,,,,,,,,,,,кирпичный,,,14,,,,,5 м²,"изолированные, смежные",без отделки,Апартаменты «МАКИ»,другое,Сдан 2 кв. 2025,,,,
22000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_899_m_45_et._7760940976?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,89.9 м²,47.9 м²,4 из 5,лоджия,2.7 м,раздельный,во двор,дизайнерский,,,,свободная,возможна ипотека,кирпичный,2024,,5,,,,за шлагбаумом во дворе,14 м²,изолированные,,,,,,,,
5100000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_524_m_49_et._7340445018?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiM3k3c3Zka3JzZTB5Yzg5YW5pNGs0MG5idnQwb3FnZyI7fW-SP_FzAAAA,2,52.4 м²,30 м²,4 из 9,лоджия,2.5 м,раздельный,во двор,косметический,,"кухня, хранение одежды, спальные места",,свободная,возможна ипотека,панельный,1986,,9,1,нет,"детская площадка, спортивная площадка",открытая во дворе,12 м²,изолированные,,,,,,от 449 000 ₽ за 52.4 м²,гардеробная,мусоропровод
12000000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_606_m_113_et._4534014065?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiM3k3c3Zka3JzZTB5Yzg5YW5pNGs0MG5idnQwb3FnZyI7fW-SP_FzAAAA,2,60.6 м²,43.6 м²,1 из 13,лоджия,2.7 м,раздельный,"во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,кирпичный,2020,,13,2,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",17 м²,изолированные,,,,,,,,
4700000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_28_m_79_et._7331243491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,28 м²,20 м²,7 из 9,балкон,,совмещенный,,косметический,,,,свободная,,кирпичный,,,9,,,,,,,,,,,,от 240 000 ₽ за 28 м²,,
11450000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_628_m_330_et._3744075920?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,62.8 м²,,3 из 30,,,,,,,,,,,монолитно-кирпичный,,,30,,,,,,,,ЖК «Расцветай на Красном»,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,Дом 5,,,
3150000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_364_m_19_et._3956783976?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,36.4 м²,,1 из 9,балкон,,совмещенный,на улицу,косметический,,,,свободная,,кирпичный,1993,,9,,,,,,,,,,,,,,
19000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_80_m_1216_et._3757688760?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,80 м²,40 м²,12 из 16,"балкон, лоджия",2.9 м,раздельный,на солнечную сторону,дизайнерский,есть,"кухня, хранение одежды","кондиционер, холодильник, посудомоечная машина, водонагреватель",свободная,возможна ипотека,кирпичный,2018,,16,1,,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",14 м²,изолированные,,,,,,,панорамные окна,консьерж
4200000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_30_m_314_et._7703443501?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,30 м²,20 м²,3 из 14,балкон,2.8 м,совмещенный,"во двор, на улицу",требует ремонта,,,,свободная,возможна ипотека,кирпичный,2024,,14,1,1,,подземная,,,,,,,,,,
4400000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_314_m_717_et._3673848479?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,31.4 м²,10 м²,7 из 17,лоджия,2.8 м,совмещенный,во двор,евро,,,,свободная,возможна ипотека,панельный,2023,,17,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,8.8 м²,,,,,,,,,
6800000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_29_m_2025_et._7596484144?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,29 м²,,20 из 25,балкон,2.7 м,совмещенный,во двор,евро,,,,свободная,возможна ипотека,монолитно-кирпичный,2019,,25,1,1,,,,,,,,,,,,
3750000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_408_m_14_et._4654557887?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,40.8 м²,28 м²,1 из 4,,3.2 м,совмещенный,на улицу,косметический,есть,кухня,,свободная,возможна ипотека,кирпичный,1964,,4,нет,нет,детская площадка,открытая во дворе,5 м²,изолированные,,,,,,,гардеробная,
13430000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_703_m_1024_et._4317636784?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,70.3 м²,,10 из 24,,,,,,,,,,,панельный,,,24,,,,,,,,ЖК «Willart»,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,Дом 2,,,
11060000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_752_m_313_et._7264403474?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,75.2 м²,40.4 м²,3 из 13,балкон,2.7 м,совмещенный,"во двор, на улицу",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,,кирпичный,2010,,13,нет,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",15 м²,изолированные,,,,,,,гардеробная,
1750000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_339_m_310_et._7655772439?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,33.9 м²,25.4 м²,3 из 10,лоджия,2.6 м,совмещенный,во двор,,,,,переуступка,,блочный,,,10,1,,"детская площадка, спортивная площадка",открытая во дворе,,,без отделки,Мкр. Плющихинский,ЖСК,"Сдача в 2 кв. 2023 — 4 кв. 2025, есть сданные",,от 579 000 ₽ за 33.9 м²,,
14700000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_895_m_67_et._7310477747?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,89.5 м²,36.6 м²,6 из 7,лоджия,2.8 м,раздельный,"во двор, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2025,,7,нет,1,"закрытая территория, детская площадка, спортивная площадка",подземная,25.5 м²,изолированные,,,,,,,гардеробная,
14900000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_1103_m_1617_et._3924738897?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiM3k3c3Zka3JzZTB5Yzg5YW5pNGs0MG5idnQwb3FnZyI7fW-SP_FzAAAA,3,110.3 м²,65.5 м²,16 из 17,балкон,,раздельный,"во двор, на улицу",дизайнерский,,,,свободная,,кирпичный,2002,,17,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,14.2 м²,изолированные,,,,,,,,
11000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_882_m_79_et._7735122364?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,88.2 м²,53 м²,7 из 9,лоджия,,раздельный,"во двор, на улицу",евро,,,,свободная,возможна ипотека,кирпичный,2015,,9,,,,открытая во дворе,12 м²,изолированные,,,,,,,,
