Цена,Ссылка,Количество комнат,Общая площадь,Жилая площадь,Этаж,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Запланирован снос,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Площадь кухни,Тип комнат,Отделка,Название новостройки,Тип участия,Срок сдачи,"Корпус, строение",Стоимость ремонта,Дополнительно,В доме
2799000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_324_m_12_et._7577213331?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0WHFMOU9ySXkyVlByTGdUIjt9bKr1Jj8AAAA,1,32.4 м²,18 м²,1 из 2,,2.5 м,совмещенный,во двор,евро,,,,свободная,возможна ипотека,кирпичный,1957,,2,нет,нет,,,10 м²,,,,,,,,,
5300000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_361_m_1317_et._7769767518?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0WHFMOU9ySXkyVlByTGdUIjt9bKr1Jj8AAAA,1,36.1 м²,18 м²,13 из 17,лоджия,2.8 м,совмещенный,во двор,евро,,,,свободная,возможна ипотека,панельный,2017,,17,1,1,,открытая во дворе,9 м²,,,,,,,,,
5500000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_498_m_22_et._7449535966?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0WHFMOU9ySXkyVlByTGdUIjt9bKr1Jj8AAAA,2,49.8 м²,29.2 м²,2 из 2,лоджия,2.7 м,совмещенный,,евро,,,,свободная,возможна ипотека,монолитный,2022,,2,3,3,,открытая во дворе,9.6 м²,изолированные,,,,,,,,газ
2950000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_317_m_19_et._7801168736?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0WHFMOU9ySXkyVlByTGdUIjt9bKr1Jj8AAAA,1,31.7 м²,15.5 м²,1 из 9,лоджия,2.5 м,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,кирпичный,1967,,9,1,нет,,,7 м²,,,,,,,от 444 000 ₽ за 31.7 м²,,
5500000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_431_m_79_et._7801096800?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,43.1 м²,28 м²,7 из 9,,,раздельный,на улицу,косметический,,,,свободная,возможна ипотека,панельный,1973,,9,,,,,6 м²,изолированные,,,,,,,,
3851000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_543_m_610_et._7321614639?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,54.3 м²,25.2 м²,6 из 10,,2.6 м,раздельный,во двор,косметический,,,,свободная,возможна ипотека,панельный,2010,,10,1,1,,,14 м²,,,,,,,от 465 000 ₽ за 54.3 м²,,
3800000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_438_m_35_et._7737505895?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,43.8 м²,26.8 м²,3 из 5,балкон,2.5 м,совмещенный,,косметический,,,,свободная,возможна ипотека,панельный,1968,,5,нет,нет,,открытая во дворе,5.3 м²,изолированные,,,,,,от 375 000 ₽ за 43.8 м²,,
6300000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_481_m_411_et._7596517165?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,48.1 м²,,4 из 11,,,совмещенный,,евро,,,,свободная,возможна ипотека,кирпичный,2003,,11,,,,,13 м²,,,,,,,,,
5100000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_371_m_1216_et._7801000369?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,37.1 м²,12.2 м²,12 из 16,лоджия,2.7 м,совмещенный,на улицу,косметический,,,,свободная,возможна ипотека,панельный,2018,,16,,,,открытая во дворе,13.8 м²,,,,,,,,,
13300000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_64_m_1112_et._7831260368?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,64 м²,30.5 м²,11 из 12,"балкон, лоджия",3 м,совмещенный,на улицу,евро,,,,свободная,возможна ипотека,кирпичный,2008,,12,1,1,,,17 м²,изолированные,,,,,,,,
