Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Дополнительно,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Техника,Отделка,Название новостройки,Тип участия,Срок сдачи,Стоимость ремонта,Запланирован снос,"Корпус, строение"
11999000.0,https://www.avito.ru/kazan/kvartiry/1-k._kvartira_433_m_77_et._7481259096?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,43.3 м²,10 м²,20 м²,7 из 7,лоджия,,,2.8 м,совмещенный,на улицу,косметический,,"кухня, хранение одежды, спальные места",свободная,,кирпичный,2006,7,1,1,газ,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,"кондиционер, холодильник, стиральная машина, водонагреватель",,,,,от 198 000 ₽ за 43.3 м²,,
11990000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_814_m_79_et._7588034992?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,81.4 м²,7.8 м²,,7 из 9,балкон,,изолированные,2.7 м,раздельный,"во двор, на улицу, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места",свободная,,панельный,1983,9,1,нет,"мусоропровод, газ","детская площадка, спортивная площадка",открытая во дворе,"кондиционер, стиральная машина",,,,,,,
14580000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_103_m_79_et._2647011350?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,2,103 м²,18 м²,57 м²,7 из 9,лоджия,гардеробная,изолированные,2.9 м,раздельный,"во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды",свободная,возможна ипотека,кирпичный,2014,9,1,1,газ,"закрытая территория, детская площадка","подземная, за шлагбаумом во дворе",,,,,,,,
8499999.0,https://www.avito.ru/kazan/kvartiry/kvartira-studiya_284_m_311_et._7764989511?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,студия,28.4 м²,,,3 из 11,лоджия,,,2.8 м,совмещенный,"во двор, на солнечную сторону",евро,,"кухня, хранение одежды",свободная,,монолитно-кирпичный,2016,11,1,1,,детская площадка,открытая во дворе,стиральная машина,,,,,,,
18500000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_106_m_25_et._7645308339?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,106 м²,18.5 м²,61.5 м²,2 из 5,лоджия,,изолированные,,раздельный,"во двор, на улицу",косметический,,кухня,свободная,возможна ипотека,кирпичный,,5,,,,"детская площадка, спортивная площадка","подземная, открытая во дворе",,,,,,от 485 000 ₽ за 106 м²,,
15199000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_68_m_723_et._7592480902?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToieWN1YTRvNjFzYzR1dzhrMXM2bmF4czM3eTI2eTV0NyI7fQVVqCtzAAAA,3,68 м²,15 м²,38 м²,7 из 23,балкон,"гардеробная, панорамные окна","изолированные, смежные",3 м,"совмещенный, раздельный","во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места",свободная,возможна ипотека,монолитный,2024,23,2,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",,,,,,,
11790000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_60_m_99_et._7715313710?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,60 м²,6.3 м²,38.6 м²,9 из 9,балкон,,изолированные,,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места",свободная,возможна ипотека,кирпичный,,9,1,,газ,"детская площадка, спортивная площадка",открытая во дворе,"холодильник, стиральная машина",,,,,от 274 000 ₽ за 60 м²,,
9789140.0,https://www.avito.ru/kazan/kvartiry/1-k._kvartira_396_m_722_et._7771687331?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,39.6 м²,11.5 м²,17.2 м²,7 из 22,,,,3 м,,,,,,,,монолитно-кирпичный,,22,,,,,,,без отделки,ЖК «Малевич»,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,,,
13500000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_75_m_1114_et._7801794538?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToieWN1YTRvNjFzYzR1dzhrMXM2bmF4czM3eTI2eTV0NyI7fQVVqCtzAAAA,2,75 м²,14.2 м²,35 м²,11 из 14,балкон,"гардеробная, панорамные окна",изолированные,2.8 м,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места",свободная,возможна ипотека,кирпичный,2016,14,1,1,,"детская площадка, спортивная площадка",открытая во дворе,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",,,,,,,
11000000.0,https://www.avito.ru/kazan/kvartiry/4-k._kvartira_886_m_1414_et._7460590524?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToieWN1YTRvNjFzYzR1dzhrMXM2bmF4czM3eTI2eTV0NyI7fQVVqCtzAAAA,4,88.6 м²,15.8 м²,,14 из 14,балкон,гардеробная,изолированные,2.7 м,раздельный,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места",свободная,,кирпичный,1993,14,1,1,мусоропровод,"детская площадка, спортивная площадка",открытая во дворе,"кондиционер, стиральная машина, посудомоечная машина",,,,,от 405 000 ₽ за 88.6 м²,,
