Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Стоимость ремонта,Способ продажи,Вид сделки,Тип дома,Этажей в доме,В доме,Двор,Парковка,Высота потолков,Мебель,Год постройки,Пассажирский лифт,Грузовой лифт,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Дополнительно,Тёплый пол,Техника,Запланирован снос
5200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_412_m_35_et._7738812205?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,41.2 м²,5.9 м²,24.2 м²,3 из 5,балкон,смежные,совмещенный,"во двор, на улицу",косметический,от 412 000 ₽ за 41.2 м²,альтернативная,возможна ипотека,кирпичный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,,,,,,,,,,,,,,
2900000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_20_m_110_et._7356000932?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,студия,20 м²,,14 м²,1 из 10,,,совмещенный,во двор,косметический,,свободная,возможна ипотека,кирпичный,10,,детская площадка,открытая во дворе,2.6 м,"кухня, хранение одежды, спальные места",2020,1,1,,,,,,,,,
4500000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_302_m_45_et._7762743452?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,30.2 м²,6.6 м²,16.1 м²,4 из 5,балкон,,совмещенный,на улицу,косметический,от 302 000 ₽ за 30.2 м²,альтернативная,возможна ипотека,кирпичный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,кухня,1976,нет,нет,,,,,,,,,
7200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_666_m_110_et._5089635411?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,66.6 м²,8.7 м²,39.8 м²,1 из 10,лоджия,"изолированные, смежные",раздельный,"во двор, на улицу, на солнечную сторону",косметический,от 666 000 ₽ за 66.6 м²,свободная,возможна ипотека,монолитный,10,газ,"закрытая территория, детская площадка",открытая во дворе,,"кухня, хранение одежды, спальные места",1991,1,,,,,,,,,,
2990000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_18_m_55_et._7727996355?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,студия,18 м²,,,5 из 5,,,совмещенный,во двор,евро,,свободная,возможна ипотека,кирпичный,5,,детская площадка,открытая во дворе,,кухня,,,,,,,,,,,,
3350000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_24_m_15_et._7459176183?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,студия,24 м²,,17.5 м²,1 из 5,,,совмещенный,во двор,косметический,от 240 000 ₽ за 24 м²,свободная,,кирпичный,5,,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,,1970,нет,нет,,,,,,,,,
15383069.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_646_m_714_et._7719232560?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,64.6 м²,17.7 м²,29.5 м²,7 из 14,,изолированные,совмещенный,во двор,,,договор долевого участия,,монолитный,14,,"закрытая территория, детская площадка, спортивная площадка",,3 м,,,1,1,предчистовая,Жилой квартал «Идель»,Этап 1,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,,,,
4600000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_385_m_55_et._7758319553?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,38.5 м²,5.8 м²,23.7 м²,5 из 5,балкон,изолированные,совмещенный,,требует ремонта,от 693 000 ₽ за 38.5 м²,свободная,,панельный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,,,1971,нет,нет,,,,,,,,,
5650000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_417_m_25_et._7623443029?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,41.7 м²,6 м²,,2 из 5,балкон,изолированные,раздельный,,евро,,свободная,,панельный,5,газ,детская площадка,открытая во дворе,2.5 м,,,нет,нет,,,,,,,,,
6700000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_433_m_510_et._7885536757?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,43.3 м²,7 м²,28 м²,5 из 10,лоджия,изолированные,раздельный,во двор,косметический,от 433 000 ₽ за 43.3 м²,свободная,возможна ипотека,панельный,10,газ,,открытая во дворе,2.5 м,"кухня, хранение одежды, спальные места",1984,1,,,,,,,,,,
4050000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_287_m_19_et._7810338186?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,28.7 м²,6.7 м²,13.7 м²,1 из 9,балкон,,совмещенный,во двор,требует ремонта,от 517 000 ₽ за 28.7 м²,свободная,возможна ипотека,кирпичный,9,газ,детская площадка,открытая во дворе,,,1988,1,нет,,,,,,гардеробная,,,
4100000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_405_m_39_et._7748994426?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,40.5 м²,5.8 м²,23.1 м²,3 из 9,,изолированные,совмещенный,во двор,требует ремонта,от 729 000 ₽ за 40.5 м²,альтернативная,,кирпичный,9,,,открытая во дворе,2.5 м,кухня,1988,1,,,,,,,,,,
8200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_353_m_79_et._7724888113?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,35.3 м²,11 м²,18 м²,7 из 9,лоджия,,совмещенный,на солнечную сторону,дизайнерский,,свободная,,панельный,9,газ,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,"кухня, хранение одежды, спальные места",1986,1,нет,,,,,,гардеробная,есть,"кондиционер, холодильник, стиральная машина",
6200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_319_m_210_et._2706364591?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,31.9 м²,8.4 м²,16.3 м²,2 из 10,,,совмещенный,во двор,косметический,от 319 000 ₽ за 31.9 м²,свободная,возможна ипотека,панельный,10,,,открытая во дворе,,кухня,2014,1,,,,,,,,,,
7600000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_565_m_99_et._7723138809?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,56.5 м²,8.7 м²,33.5 м²,9 из 9,балкон,изолированные,раздельный,во двор,требует ремонта,от 1 017 000 ₽ за 56.5 м²,свободная,возможна ипотека,панельный,9,газ,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,,1975,1,1,,,,,,,,,
5700000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_419_m_45_et._7631308372?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,41.9 м²,6 м²,28 м²,4 из 5,балкон,изолированные,совмещенный,на улицу,евро,,свободная,возможна ипотека,кирпичный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,"кухня, хранение одежды, спальные места",1964,нет,нет,,,,,,,,кондиционер,
8590000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_40_m_1016_et._7757966047?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,40 м²,9.9 м²,17.8 м²,10 из 16,балкон,,совмещенный,во двор,евро,,свободная,,монолитный,16,,,,,"кухня, хранение одежды, спальные места",2024,1,1,,,,,,,,"кондиционер, холодильник, посудомоечная машина, водонагреватель",
3650000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_309_m_35_et._7831927506?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,30.9 м²,5 м²,18 м²,3 из 5,балкон,,совмещенный,во двор,требует ремонта,от 556 000 ₽ за 30.9 м²,свободная,возможна ипотека,панельный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,кухня,1968,нет,нет,,,,,,,,,
5500000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_37_m_14_et._7546943742?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,37 м²,19 м²,9.5 м²,1 из 4,балкон,,совмещенный,"во двор, на солнечную сторону",евро,,свободная,возможна ипотека,кирпичный,4,газ,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,2.7 м,хранение одежды,2025,нет,нет,,,,,,гардеробная,есть,,
4650000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_299_m_29_et._7703442189?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,29.9 м²,5.4 м²,18.1 м²,2 из 9,,,совмещенный,во двор,косметический,от 299 000 ₽ за 29.9 м²,альтернативная,,кирпичный,9,"мусоропровод, газ",детская площадка,открытая во дворе,2.5 м,"кухня, хранение одежды",1978,1,,,,,,,,,,
4200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_303_m_15_et._7801527322?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,30.3 м²,6 м²,16 м²,1 из 5,,,раздельный,на улицу,косметический,от 303 000 ₽ за 30.3 м²,свободная,возможна ипотека,кирпичный,5,,детская площадка,открытая во дворе,2.5 м,,1968,нет,нет,,,,,,,,,
4700000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_449_m_15_et._7768032630?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,44.9 м²,5.2 м²,,1 из 5,,смежные,совмещенный,во двор,косметический,от 449 000 ₽ за 44.9 м²,альтернативная,,панельный,5,газ,детская площадка,открытая во дворе,2.5 м,хранение одежды,1968,нет,нет,,,,,,,,,
8990000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_419_m_910_et._7787579318?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,41.9 м²,9.5 м²,,9 из 10,лоджия,,совмещенный,на улицу,евро,,свободная,,кирпичный,10,газ,"детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",,"кухня, хранение одежды, спальные места",2013,1,1,,,,,,гардеробная,,"холодильник, стиральная машина",
5450000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_441_m_25_et._7778366042?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,44.1 м²,5 м²,33 м²,2 из 5,балкон,смежные,совмещенный,"во двор, на улицу",евро,,свободная,возможна ипотека,кирпичный,5,газ,,открытая во дворе,2.4 м,"кухня, хранение одежды, спальные места",1967,нет,нет,,,,,,,,"кондиционер, холодильник, стиральная машина",
7200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_634_m_39_et._7393393496?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,63.4 м²,8 м²,44.8 м²,3 из 9,балкон,изолированные,раздельный,"во двор, на улицу",требует ремонта,от 1 141 000 ₽ за 63.4 м²,свободная,возможна ипотека,панельный,9,газ,детская площадка,открытая во дворе,2.6 м,кухня,1966,1,нет,,,,,,,,,
5400000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_35_m_55_et._7808961981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,35 м²,9.8 м²,14.5 м²,5 из 5,балкон,,раздельный,во двор,евро,,свободная,возможна ипотека,кирпичный,5,,детская площадка,открытая во дворе,,"кухня, хранение одежды",1971,нет,нет,,,,,,,есть,"кондиционер, водонагреватель",
4890000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_443_m_15_et._7638481890?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,44.3 м²,5.5 м²,32 м²,1 из 5,,изолированные,раздельный,"на улицу, на солнечную сторону",косметический,от 443 000 ₽ за 44.3 м²,свободная,возможна ипотека,кирпичный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,"кухня, хранение одежды, спальные места",1970,нет,нет,,,,,,,,"холодильник, стиральная машина",
8800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_502_m_39_et._7781931870?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,50.2 м²,8.5 м²,28.7 м²,3 из 9,лоджия,изолированные,совмещенный,во двор,евро,,свободная,,кирпичный,9,газ,детская площадка,открытая во дворе,2.5 м,,1988,1,,,,,,,,,,
7550000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_539_m_2024_et._7466652400?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,53.9 м²,21.7 м²,,20 из 24,лоджия,,совмещенный,на улицу,косметический,от 539 000 ₽ за 53.9 м²,свободная,возможна ипотека,монолитный,,,"закрытая территория, детская площадка",открытая во дворе,2.7 м,"кухня, хранение одежды",2020,2,2,,,,,,гардеробная,,кондиционер,
10950000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_394_m_39_et._7748248772?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,39.4 м²,7.5 м²,22.2 м²,3 из 9,балкон,смежные,совмещенный,"во двор, на улицу",дизайнерский,,свободная,возможна ипотека,кирпичный,9,,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,"кухня, хранение одежды, спальные места",1965,1,,,,,,,,,"холодильник, стиральная машина, посудомоечная машина, водонагреватель",
4600000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_306_m_25_et._7885809106?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,30.6 м²,6 м²,20.7 м²,2 из 5,балкон,,раздельный,во двор,требует ремонта,от 551 000 ₽ за 30.6 м²,свободная,,кирпичный,5,газ,детская площадка,открытая во дворе,,,1964,нет,нет,,,,,,,,,
8800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_448_m_1519_et._4530564204?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,44.8 м²,14.7 м²,20.2 м²,15 из 19,лоджия,,совмещенный,"во двор, на солнечную сторону",евро,,свободная,,монолитно-кирпичный,,,,открытая во дворе,,"кухня, хранение одежды",,1,1,,,,,,,,"кондиционер, посудомоечная машина",
5500000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_47_m_15_et._7764218685?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,47 м²,6 м²,33 м²,1 из 5,,изолированные,раздельный,во двор,косметический,от 470 000 ₽ за 47 м²,свободная,возможна ипотека,панельный,5,газ,детская площадка,открытая во дворе,25 м,"кухня, хранение одежды",1974,нет,нет,,,,,,,,"кондиционер, водонагреватель",
4200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_392_m_55_et._7664712079?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,39.2 м²,5.4 м²,27.4 м²,5 из 5,,смежные,совмещенный,на солнечную сторону,требует ремонта,от 706 000 ₽ за 39.2 м²,свободная,возможна ипотека,кирпичный,5,газ,детская площадка,открытая во дворе,,кухня,,нет,нет,,,,,,гардеробная,,,
6300000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_57_m_35_et._7695448907?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,57 м²,7 м²,39 м²,3 из 5,балкон,"изолированные, смежные",совмещенный,"во двор, на улицу",косметический,от 570 000 ₽ за 57 м²,свободная,возможна ипотека,кирпичный,5,газ,детская площадка,открытая во дворе,2.8 м,"кухня, хранение одежды, спальные места",,нет,нет,,,,,,,,"холодильник, стиральная машина",
5800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_35_m_39_et._7798349069?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,35 м²,7 м²,21 м²,3 из 9,балкон,,раздельный,во двор,косметический,от 350 000 ₽ за 35 м²,альтернативная,возможна ипотека,кирпичный,9,газ,,открытая во дворе,,,1987,1,нет,,,,,,,,,
12000000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_109_m_23_et._3161175010?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,109 м²,20.8 м²,,2 из 3,балкон,изолированные,совмещенный,,евро,,свободная,,блочный,3,газ,закрытая территория,за шлагбаумом во дворе,,,2016,нет,нет,,,,,,,есть,"стиральная машина, посудомоечная машина",
6900000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_302_m_15_et._7770361000?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,30.2 м²,5 м²,,1 из 5,,,совмещенный,во двор,евро,,свободная,возможна ипотека,кирпичный,5,газ,детская площадка,открытая во дворе,,"кухня, хранение одежды, спальные места",1963,нет,нет,,,,,,,есть,,
7100000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_437_m_99_et._7809835977?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,43.7 м²,7 м²,27 м²,9 из 9,балкон,изолированные,раздельный,,косметический,от 437 000 ₽ за 43.7 м²,альтернативная,возможна ипотека,панельный,9,"мусоропровод, газ",,,,,,1,,,,,,,,,,
3800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_19_m_617_et._7633912881?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,студия,19 м²,,,6 из 17,лоджия,,совмещенный,во двор,косметический,от 190 000 ₽ за 19 м²,альтернативная,,панельный,17,,"детская площадка, спортивная площадка",открытая во дворе,,,2014,1,1,,,,,,,,,
4400000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_287_m_45_et._7730066308?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,28.7 м²,5.6 м²,16.1 м²,4 из 5,балкон,,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,от 287 000 ₽ за 28.7 м²,свободная,,кирпичный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,2.7 м,кухня,1960,нет,нет,,,,,,гардеробная,,,
6500000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_34_m_79_et._7681587319?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,34 м²,6 м²,17.4 м²,7 из 9,балкон,,совмещенный,во двор,евро,,альтернативная,,панельный,9,газ,,открытая во дворе,2.5 м,"кухня, хранение одежды, спальные места",1973,1,1,,,,,,,,,
11890000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_637_m_710_et._7732637288?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,63.7 м²,12.2 м²,,7 из 10,балкон,изолированные,раздельный,"во двор, на улицу",дизайнерский,,свободная,возможна ипотека,монолитный,10,,,,2.5 м,,2023,,,,,,,,,,,
5650000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_57_m_15_et._4027909218?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,57 м²,6 м²,39 м²,1 из 5,,смежные,совмещенный,,косметический,от 570 000 ₽ за 57 м²,альтернативная,возможна ипотека,панельный,5,газ,детская площадка,открытая во дворе,,,1966,,,,,,,,,,,
3950000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_357_m_33_et._7517494293?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,35.7 м²,5 м²,25 м²,3 из 3,,смежные,совмещенный,,косметический,от 357 000 ₽ за 35.7 м²,альтернативная,возможна ипотека,кирпичный,3,,,открытая во дворе,,,1960,нет,нет,,,,,,,,,
