Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Стоимость ремонта,Способ продажи,Вид сделки,Тип дома,Этажей в доме,В доме,Двор,Парковка,Высота потолков,Мебель,Год постройки,Пассажирский лифт,Грузовой лифт,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Дополнительно,Тёплый пол,Техника,Запланирован снос
3900000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_321_m_25_et._7691773609?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,1,32.1 м²,5 м²,20.2 м²,2 из 5,балкон,,раздельный,"на улицу, на солнечную сторону",косметический,от 321 000 ₽ за 32.1 м²,свободная,возможна ипотека,кирпичный,5,газ,,открытая во дворе,2.5 м,,1963,нет,нет,,,,,,,есть,,да
14800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_51_m_55_et._7643602253?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,51 м²,6 м²,33 м²,5 из 5,балкон,изолированные,совмещенный,"на улицу, на солнечную сторону",требует ремонта,,альтернативная,возможна ипотека,кирпичный,5,газ,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",3 м,"кухня, хранение одежды, спальные места",1958,нет,нет,,,,,,"гардеробная, панорамные окна",,,
10300000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_614_m_69_et._7721786545?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,3,61.4 м²,7 м²,42.4 м²,6 из 9,"балкон, лоджия",изолированные,раздельный,"во двор, на улицу",евро,,свободная,,панельный,9,,,,2.5 м,,,,,,,,,,,,,
5850000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_468_m_19_et._7695265573?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,46.8 м²,9 м²,,1 из 9,,смежные,совмещенный,,косметический,,свободная,возможна ипотека,панельный,9,,,,2.5 м,,1981,1,,,,,,,,,,
18600000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/4-k._kvartira_124_m_212_et._7440875639?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,4,124 м²,15.8 м²,80 м²,2 из 12,балкон,изолированные,раздельный,"во двор, на улицу",требует ремонта,,свободная,возможна ипотека,монолитный,12,,,подземная,,,2024,1,1,,,,,,,,,
7900000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_532_m_210_et._7724580673?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,1,53.2 м²,13.2 м²,23.7 м²,2 из 10,лоджия,,раздельный,во двор,евро,,свободная,возможна ипотека,кирпичный,10,,,,,"кухня, хранение одежды, спальные места",,1,нет,,,,,,,,,
4450000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_442_m_22_et._7736979193?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,44.2 м²,7.5 м²,30.4 м²,2 из 2,,смежные,совмещенный,во двор,косметический,от 442 000 ₽ за 44.2 м²,свободная,возможна ипотека,блочный,2,газ,,,,,,нет,нет,,,,,,,,,
11990000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/4-k._kvartira_93_m_912_et._7205749557?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,4,93 м²,7.5 м²,53.2 м²,9 из 12,лоджия,изолированные,раздельный,,косметический,от 930 000 ₽ за 93 м²,свободная,возможна ипотека,панельный,12,,,,,кухня,,1,1,,,,,,,,,
4390000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_457_m_55_et._7627794396?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,45.7 м²,5.5 м²,31 м²,5 из 5,балкон,смежные,совмещенный,,косметический,от 457 000 ₽ за 45.7 м²,свободная,,панельный,5,газ,детская площадка,открытая во дворе,,,1966,нет,нет,,,,,,,,,
11990000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_43_m_1217_et._7734909424?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,1,43 м²,10 м²,20 м²,12 из 17,,,совмещенный,во двор,дизайнерский,,свободная,,монолитный,17,консьерж,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",3.2 м,,2023,1,1,,,,,,панорамные окна,есть,кондиционер,да
5990000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_564_m_15_et._7589502615?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,3,56.4 м²,5.8 м²,42.3 м²,1 из 5,,"изолированные, смежные",совмещенный,"во двор, на улицу",требует ремонта,от 1 015 000 ₽ за 56.4 м²,свободная,возможна ипотека,кирпичный,5,,детская площадка,открытая во дворе,,,1962,нет,нет,,,,,,,,,
5200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_448_m_39_et._7668933890?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,44.8 м²,5.9 м²,27 м²,3 из 9,балкон,изолированные,"совмещенный, раздельный",,косметический,от 448 000 ₽ за 44.8 м²,альтернативная,возможна ипотека,кирпичный,9,,,,,,,,,,,,,,,,,
2280000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_12_m_99_et._7728333691?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,студия,12 м²,,,9 из 9,,,совмещенный,во двор,евро,,свободная,возможна ипотека,кирпичный,9,"консьерж, газ","детская площадка, спортивная площадка",открытая во дворе,,"кухня, хранение одежды, спальные места",1980,1,,,,,,,,,"холодильник, стиральная машина",
8700000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_415_m_55_et._7764787503?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,1,41.5 м²,11.8 м²,20.1 м²,5 из 5,лоджия,,раздельный,во двор,евро,,свободная,возможна ипотека,кирпичный,5,газ,,открытая во дворе,2.7 м,,2007,,,,,,,,,есть,водонагреватель,
5600000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_473_m_59_et._7280755941?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,47.3 м²,7.3 м²,35 м²,5 из 9,балкон,изолированные,раздельный,на улицу,требует ремонта,,свободная,,панельный,9,,,открытая во дворе,,,1970,1,,,,,,,,,,
7800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_47_m_910_et._7809423497?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,47 м²,8.4 м²,25.7 м²,9 из 10,балкон,изолированные,совмещенный,,косметический,от 470 000 ₽ за 47 м²,свободная,возможна ипотека,панельный,10,,,,,,2015,1,,,,,,,,,,
7790000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_43_m_1418_et._7564309552?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,1,43 м²,10.5 м²,17.2 м²,14 из 18,лоджия,,совмещенный,во двор,косметический,от 430 000 ₽ за 43 м²,свободная,возможна ипотека,монолитный,18,,,,,,,2,нет,,,,,,,,,
7800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_60_m_69_et._7699600982?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,3,60 м²,7 м²,44.6 м²,6 из 9,лоджия,"изолированные, смежные",совмещенный,"во двор, на улицу",косметический,от 600 000 ₽ за 60 м²,альтернативная,возможна ипотека,панельный,9,"мусоропровод, газ",,,2.7 м,"кухня, хранение одежды, спальные места",1979,1,нет,,,,,,,,,
6250000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_389_m_89_et._7599866210?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,38.9 м²,6 м²,21.7 м²,8 из 9,балкон,изолированные,раздельный,,косметический,,свободная,возможна ипотека,панельный,9,,,открытая во дворе,2.5 м,,1981,1,,,,,,,,,,
3800000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_29_m_46_et._7577102285?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,1,29 м²,8.4 м²,13 м²,4 из 6,лоджия,,совмещенный,во двор,косметический,от 290 000 ₽ за 29 м²,свободная,возможна ипотека,панельный,6,,,,2.5 м,,1991,нет,нет,,,,,,,,,
10513360.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_919_m_516_et._7513964964?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,3,91.9 м²,12.9 м²,49.1 м²,5 из 16,лоджия,изолированные,раздельный,"во двор, на улицу",требует ремонта,от 1 654 000 ₽ за 91.9 м²,свободная,,монолитно-кирпичный,16,,"закрытая территория, детская площадка",открытая во дворе,2.7 м,,2024,нет,1,,,,,,,,,
14200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_39_m_89_et._7684627916?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,1,39 м²,6 м²,23 м²,8 из 9,лоджия,,совмещенный,во двор,дизайнерский,,свободная,возможна ипотека,монолитно-кирпичный,9,консьерж,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",3 м,"кухня, хранение одежды, спальные места",2019,1,1,,,,,,,есть,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",
8000000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_601_m_99_et._7724325672?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,3,60.1 м²,7 м²,39.3 м²,9 из 9,лоджия,"изолированные, смежные",раздельный,на улицу,косметический,от 601 000 ₽ за 60.1 м²,альтернативная,возможна ипотека,панельный,9,газ,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,,1978,1,нет,,,,,,,,,
5849000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_425_m_25_et._7717294363?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,2,42.5 м²,5.5 м²,28 м²,2 из 5,балкон,изолированные,совмещенный,"во двор, на улицу",косметический,от 425 000 ₽ за 42.5 м²,свободная,возможна ипотека,панельный,5,газ,,открытая во дворе,,кухня,1965,нет,нет,,,,,,,,,
11771760.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_1029_m_510_et._7513362300?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,3,102.9 м²,13.8 м²,53.1 м²,5 из 10,лоджия,изолированные,раздельный,"во двор, на улицу",требует ремонта,от 1 852 000 ₽ за 102.9 м²,свободная,возможна ипотека,монолитно-кирпичный,10,,закрытая территория,за шлагбаумом во дворе,2.7 м,,2024,нет,1,,,,,,,,,
6500000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_58_m_19_et._7675682023?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnYVpQeUJPUWE5SE5IZVlzIjt9yGbJHj8AAAA,3,58 м²,7.3 м²,39.6 м²,1 из 9,балкон,"изолированные, смежные",раздельный,во двор,требует ремонта,,свободная,,панельный,9,газ,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,"кухня, хранение одежды, спальные места",1978,1,нет,,,,,,"гардеробная, панорамные окна",есть,"холодильник, стиральная машина",
8900000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/4-k._kvartira_76_m_69_et._7830770334?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIyY05BZ05lbnNqbmR0bGtOIjt9XUQ7lz8AAAA,4,76 м²,7.5 м²,51 м²,6 из 9,"балкон, лоджия",изолированные,раздельный,"во двор, на улицу",косметический,от 760 000 ₽ за 76 м²,свободная,возможна ипотека,кирпичный,9,газ,детская площадка,открытая во дворе,2.7 м,"кухня, хранение одежды",1993,1,нет,,,,,,,,,
5200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_525_m_35_et._7353863480?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIyY05BZ05lbnNqbmR0bGtOIjt9XUQ7lz8AAAA,3,52.5 м²,6.3 м²,36.3 м²,3 из 5,балкон,"изолированные, смежные",раздельный,во двор,косметический,от 525 000 ₽ за 52.5 м²,альтернативная,,кирпичный,5,газ,,,,,1971,нет,нет,,,,,,,,,
