Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Способ продажи,Вид сделки,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Дополнительно,Стоимость ремонта,Мебель,Год постройки,В доме,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Тёплый пол,Техника,Запланирован снос
59000000,https://www.avito.ru/ekaterinburg/kvartiry/4-k._kvartira_184_m_3030_et._7472412440?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,4,184 м²,25 м²,107 м²,30 из 30,лоджия,изолированные,3 м,"совмещенный, раздельный","во двор, на улицу",дизайнерский,свободная,возможна ипотека,монолитно-кирпичный,30,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,,,,,,,
9950000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_97_m_1414_et._7694728944?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,97 м²,11 м²,46.5 м²,14 из 14,лоджия,изолированные,,совмещенный,на улицу,косметический,свободная,возможна ипотека,кирпичный,14,1,1,"закрытая территория, детская площадка",подземная,панорамные окна,от 416 000 ₽ за 97 м²,кухня,2005,,,,,,,,,
28000000,https://www.avito.ru/ekaterinburg/kvartiry/5-k._kvartira_1564_m_2230_et._7492245939?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,5,156.4 м²,20 м²,70 м²,22 из 30,балкон,"изолированные, смежные",3 м,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,свободная,возможна ипотека,кирпичный,30,2,2,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",,от 1 564 000 ₽ за 156.4 м²,,2021,консьерж,,,,,,,,
7440000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_372_m_1730_et._7741171433?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,1,37.2 м²,10.9 м²,,17 из 30,,,,,,,,,монолитно-кирпичный,30,,,,,,,,,,предчистовая,ЖК «Голос Заря»,Дом №1,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,,,
4948000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_224_m_2226_et._7660776739?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,студия,22.4 м²,,11.4 м²,22 из 26,лоджия,,,совмещенный,на улицу,евро,свободная,возможна ипотека,монолитный,26,3,нет,,,,,,2024,,,,,,,,,
23050000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_1205_m_331_et._7786169213?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,120.5 м²,,61.3 м²,3 из 31,лоджия,,,,,,,,монолитно-кирпичный,31,,,,,,,,,,без отделки,ЖК «Clever park»,"3 очередь, 2 этап (д. 8)",ДДУ по ФЗ 214,Сдача в 3 кв. 2027,,,
32990000,https://www.avito.ru/ekaterinburg/kvartiry/4-k._kvartira_1356_m_930_et._7536278231?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,4,135.6 м²,15 м²,70 м²,9 из 30,лоджия,изолированные,2.7 м,совмещенный,во двор,дизайнерский,свободная,возможна ипотека,монолитный,30,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,,,,,,,
11150000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_454_m_1331_et._7686088094?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,1,45.4 м²,15.8 м²,13.3 м²,13 из 31,лоджия,,2.8 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,свободная,возможна ипотека,монолитный,31,4,2,"закрытая территория, детская площадка, спортивная площадка",подземная,гардеробная,,"кухня, хранение одежды, спальные места",2023,консьерж,,,,,,есть,"холодильник, стиральная машина, посудомоечная машина",да
7460000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_522_m_37_et._7272077712?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,52.2 м²,16.4 м²,20.3 м²,3 из 7,балкон,изолированные,2.7 м,совмещенный,во двор,,договор долевого участия,,монолитный,7,1,1,"детская площадка, спортивная площадка",,,,,,,предчистовая,Квартал «Депо»,Дом 7,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,,,
4300000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_24_m_1432_et._7588498849?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,студия,24 м²,,14 м²,14 из 32,,,2.7 м,совмещенный,"во двор, на улицу",требует ремонта,свободная,возможна ипотека,панельный,32,2,1,закрытая территория,,,от 240 000 ₽ за 24 м²,,2025,,,,,,,,,
10968754,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_833_m_2730_et._7839157800?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,83.3 м²,,,27 из 30,,,,,,,,,монолитный,30,,,,,,,,,,предчистовая,ЖК «Первый Южный»,"Секции 1.1, 1.2 (1 этап)",ДДУ по ФЗ 214,Сдача в 2 кв. 2027,,,
7000000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_40_m_2832_et._7389980570?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,1,40 м²,18 м²,12.5 м²,28 из 32,лоджия,,2.7 м,совмещенный,"во двор, на солнечную сторону",косметический,свободная,возможна ипотека,монолитный,32,2,2,детская площадка,"наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе","гардеробная, панорамные окна",от 171 000 ₽ за 40 м²,"кухня, хранение одежды, спальные места",2021,,,,,,,,"холодильник, стиральная машина",
11600000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_741_m_816_et._7588443418?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,74.1 м²,24.8 м²,30.2 м²,8 из 16,,изолированные,2.6 м,"совмещенный, раздельный","во двор, на улицу",дизайнерский,свободная,,монолитный,16,2,2,закрытая территория,,,,кухня,2019,,,,,,,,"холодильник, посудомоечная машина",
15000000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_1012_m_1015_et._7694185065?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,101.2 м²,15 м²,,10 из 15,лоджия,изолированные,3 м,совмещенный,на улицу,дизайнерский,свободная,возможна ипотека,кирпичный,15,1,1,"детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",гардеробная,,"кухня, хранение одежды, спальные места",2014,,,,,,,,,
4600000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_427_m_24_et._7723213103?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToic3U0NWswcXppNzJvNnZvaTF4YTZuMjN4MzR0aGZjZyI7feqlWlJzAAAA,2,42.7 м²,7 м²,27 м²,2 из 4,балкон,изолированные,,совмещенный,во двор,косметический,альтернативная,,кирпичный,4,,,,,,от 183 000 ₽ за 42.7 м²,,,,,,,,,,,
10939300,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_787_m_221_et._7778215915?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,78.7 м²,,,2 из 21,,,,,,,,,монолитный,21,1,1,,,,,,,,чистовая,ЖК «Белая башня»,Дом 3,другое,Сдан 3 кв. 2024,,,
9500000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_512_m_715_et._7884931413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,51.2 м²,16.2 м²,,7 из 15,,изолированные,,,,,,,монолитный,15,,,,,,,,,,чистовая,ЖК «First» (Ферст),Дом 12.6,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,,,
7899999,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_775_m_79_et._7537077693?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,77.5 м²,12 м²,47.3 м²,7 из 9,лоджия,изолированные,2.7 м,раздельный,"во двор, на улицу",косметический,свободная,возможна ипотека,монолитный,9,1,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",,от 332 000 ₽ за 77.5 м²,"кухня, хранение одежды",2013,консьерж,,,,,,,,
6150000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_66_m_710_et._7492482981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,66 м²,8 м²,41 м²,7 из 10,лоджия,изолированные,2.6 м,раздельный,на улицу,косметический,свободная,возможна ипотека,панельный,10,1,нет,,,,от 283 000 ₽ за 66 м²,,1995,,,,,,,,,
3550000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_244_m_1931_et._3723573174?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,студия,24.4 м²,,14 м²,19 из 31,лоджия,,,,во двор,,,,монолитный,,,,,,,,,,,без отделки,Проект-достояние «Русь»,Дом 4 (Квартал 2),другое,Сдан 3 кв. 2025,,,
13400000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_965_m_1010_et._7579462545?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,96.5 м²,35 м²,45 м²,10 из 10,лоджия,изолированные,2.7 м,раздельный,"во двор, на улицу, на солнечную сторону",дизайнерский,альтернативная,возможна ипотека,монолитный,10,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,,,"кухня, хранение одежды, спальные места",2013,консьерж,,,,,,есть,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",да
3785000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_197_m_1725_et._7760199028?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,студия,19.7 м²,,,17 из 25,лоджия,,,,,,,,монолитный,25,,,,,,,,,,чистовая,ЖК «Старт»,Дом 2,ДДУ по ФЗ 214,Сдача в 1 кв. 2026,,,
7300000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_574_m_1515_et._7719602177?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToic3U0NWswcXppNzJvNnZvaTF4YTZuMjN4MzR0aGZjZyI7feqlWlJzAAAA,2,57.4 м²,11 м²,,15 из 15,лоджия,изолированные,,раздельный,"во двор, на улицу",косметический,свободная,возможна ипотека,монолитно-кирпичный,15,1,1,,подземная,,от 246 000 ₽ за 57.4 м²,"кухня, хранение одежды, спальные места",2012,,,,,,,,,
4850000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_32_m_2425_et._7798873662?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToic3U0NWswcXppNzJvNnZvaTF4YTZuMjN4MzR0aGZjZyI7feqlWlJzAAAA,студия,32 м²,,16 м²,24 из 25,лоджия,,2.7 м,совмещенный,на улицу,евро,свободная,возможна ипотека,монолитный,25,2,1,,,,,,,,,,,,,,,
8220000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_573_m_621_et._7762852593?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,57.3 м²,,,6 из 21,,,,,,,,,монолитный,21,,,,,,,,,,предчистовая,ЖК «Уральский сад»,Квартал Парковый,ДДУ по ФЗ 214,Сдача в 4 кв. 2028,,,
10917442,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_605_m_1425_et._7780773496?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,60.5 м²,,27 м²,14 из 25,,,,,,,,,монолитный,25,4,2,,,,,,,,предчистовая,ЖК «Дом на Ясной»,Дом 6 (секц. А-Г),другое,Сдан 3 кв. 2025,,,
5300000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_617_m_45_et._7787091808?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,61.7 м²,6.4 м²,45.2 м²,4 из 5,балкон,"изолированные, смежные",2.5 м,раздельный,"во двор, на улицу",требует ремонта,альтернативная,возможна ипотека,блочный,5,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,,от 617 000 ₽ за 61.7 м²,"кухня, хранение одежды",1972,газ,,,,,,,,
6600000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_512_m_55_et._7798212170?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,51.2 м²,9 м²,36.5 м²,5 из 5,лоджия,изолированные,2.7 м,раздельный,"во двор, на улицу",косметический,свободная,возможна ипотека,кирпичный,5,нет,нет,детская площадка,открытая во дворе,,от 219 000 ₽ за 51.2 м²,"кухня, хранение одежды",1966,газ,,,,,,есть,,
10950000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_703_m_925_et._7708164381?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,70.3 м²,23 м²,47.1 м²,9 из 25,балкон,изолированные,,совмещенный,"во двор, на улицу",евро,свободная,возможна ипотека,монолитный,25,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,,,"кухня, спальные места",2016,,,,,,,есть,"холодильник, посудомоечная машина",
11499999,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_499_m_312_et._7606519452?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,49.9 м²,9.8 м²,,3 из 12,лоджия,изолированные,2.5 м,раздельный,на улицу,евро,свободная,возможна ипотека,кирпичный,12,1,,"закрытая территория, детская площадка, спортивная площадка","наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе",,,"кухня, хранение одежды",1982,,,,,,,,посудомоечная машина,
9838250,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_679_m_725_et._7533268466?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,67.9 м²,,,7 из 25,,,,,,,,,монолитный,25,2,3,,,,,,,,чистовая,ЖК «Veer Park (Веер Парк)»,Дом 5,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,,,
7721480,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_479_m_324_et._7643338519?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,47.9 м²,16.4 м²,20.7 м²,3 из 24,,изолированные,2.7 м,раздельный,на улицу,,договор долевого участия,возможна ипотека,монолитный,24,1,1,"детская площадка, спортивная площадка",открытая во дворе,,,,,,предчистовая,Исеть парк,Корпус 5,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,,,
7270000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_628_m_59_et._7700718811?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,62.8 м²,8 м²,40 м²,5 из 9,лоджия,изолированные,,раздельный,,евро,свободная,возможна ипотека,панельный,9,1,нет,"детская площадка, спортивная площадка",открытая во дворе,,,"кухня, хранение одежды, спальные места",1987,,,,,,,,,
4500000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_652_m_22_et._3297035842?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,65.2 м²,2 м²,44.7 м²,2 из 2,,изолированные,,раздельный,"во двор, на улицу, на солнечную сторону",косметический,свободная,,кирпичный,2,нет,нет,"закрытая территория, детская площадка",,,от 279 000 ₽ за 65.2 м²,кухня,,,,,,,,,,
8740000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_638_m_1525_et._7670325939?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToic3U0NWswcXppNzJvNnZvaTF4YTZuMjN4MzR0aGZjZyI7feqlWlJzAAAA,3,63.8 м²,14.6 м²,39 м²,15 из 25,лоджия,изолированные,2.7 м,совмещенный,"во двор, на улицу",евро,свободная,возможна ипотека,монолитно-кирпичный,25,2,1,"закрытая территория, детская площадка, спортивная площадка",,,,"кухня, хранение одежды, спальные места",2019,,,,,,,,"холодильник, стиральная машина",
6790000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_632_m_19_et._7270970080?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToic3U0NWswcXppNzJvNnZvaTF4YTZuMjN4MzR0aGZjZyI7feqlWlJzAAAA,3,63.2 м²,8.1 м²,39.9 м²,1 из 9,балкон,изолированные,2.6 м,раздельный,"во двор, на улицу, на солнечную сторону",косметический,свободная,возможна ипотека,панельный,9,1,нет,"детская площадка, спортивная площадка",открытая во дворе,,,кухня,1985,газ,,,,,,,,
6498000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_361_m_722_et._7686476258?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,1,36.1 м²,9 м²,14 м²,7 из 22,лоджия,,2.7 м,совмещенный,во двор,косметический,свободная,возможна ипотека,монолитный,22,2,2,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,гардеробная,от 155 000 ₽ за 36.1 м²,"кухня, хранение одежды, спальные места",2022,,,,,,,,"холодильник, стиральная машина",
12900000,https://www.avito.ru/ekaterinburg/kvartiry/4-k._kvartira_1122_m_410_et._7660461581?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToic3U0NWswcXppNzJvNnZvaTF4YTZuMjN4MzR0aGZjZyI7feqlWlJzAAAA,4,112.2 м²,33.9 м²,56.7 м²,4 из 10,лоджия,изолированные,,совмещенный,во двор,косметический,свободная,возможна ипотека,панельный,10,1,1,детская площадка,открытая во дворе,,от 481 000 ₽ за 112.2 м²,"кухня, хранение одежды, спальные места",1997,,,,,,,есть,"холодильник, стиральная машина",
11242831,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_623_m_67_et._4658295484?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,62.3 м²,,,6 из 7,,изолированные,,,,,,,монолитно-кирпичный,7,,,,,,,,,,чистовая,ЖК «Доминанта»,Секция 2,другое,Сдан 4 кв. 2025,,,
4900000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_507_m_25_et._7755896869?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToic3U0NWswcXppNzJvNnZvaTF4YTZuMjN4MzR0aGZjZyI7feqlWlJzAAAA,3,50.7 м²,6 м²,35 м²,2 из 5,балкон,"изолированные, смежные",,раздельный,во двор,требует ремонта,свободная,,кирпичный,5,,,,,,от 507 000 ₽ за 50.7 м²,,,,,,,,,,,
16999000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_1035_m_1325_et._7678613432?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,103.5 м²,34 м²,46 м²,13 из 25,лоджия,изолированные,2.7 м,раздельный,"во двор, на солнечную сторону",требует ремонта,свободная,возможна ипотека,монолитный,25,2,2,"закрытая территория, детская площадка, спортивная площадка","подземная, наземная многоуровневая",,от 1 035 000 ₽ за 103.5 м²,"кухня, хранение одежды, спальные места",2009,консьерж,,,,,,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",
11400000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_407_m_57_et._4631020350?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,1,40.7 м²,13 м²,,5 из 7,"балкон, лоджия",,3 м,совмещенный,"во двор, на солнечную сторону",требует ремонта,свободная,,монолитно-кирпичный,7,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,панорамные окна,от 407 000 ₽ за 40.7 м²,,2024,консьерж,,,,,,,,
7350000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_829_m_1616_et._4751570872?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,82.9 м²,10.2 м²,47.3 м²,16 из 16,лоджия,изолированные,2.5 м,раздельный,"во двор, на улицу, на солнечную сторону",косметический,альтернативная,возможна ипотека,панельный,16,1,1,детская площадка,открытая во дворе,,от 355 000 ₽ за 82.9 м²,"кухня, хранение одежды, спальные места",1998,,,,,,,,,
5116676,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_214_m_2024_et._7303592328?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,студия,21.4 м²,,7.2 м²,20 из 24,лоджия,,,,,,,,монолитный,24,,,,,,,,,,чистовая,ЖК «Философия Идеалистов на Черкасской»,Корпус 2.1,ДДУ по ФЗ 214,Сдача в 3 кв. 2026,,,
