Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Способ продажи,Вид сделки,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Дополнительно,Стоимость ремонта,Мебель,Год постройки,В доме,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Тёплый пол,Техника,Запланирован снос
4890000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_253_m_518_et._7594268487?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,студия,25.3 м²,,,5 из 18,,,2.6 м,совмещенный,"во двор, на солнечную сторону",евро,свободная,,монолитно-кирпичный,18,,2,"детская площадка, спортивная площадка",,панорамные окна,,"кухня, хранение одежды",2025,,,,,,,,"холодильник, посудомоечная машина",
6750000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_35_m_410_et._7475039018?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,35 м²,10 м²,15 м²,4 из 10,лоджия,,2.7 м,совмещенный,во двор,косметический,свободная,возможна ипотека,панельный,10,1,1,,,,от 150 000 ₽ за 35 м²,"кухня, хранение одежды",2019,,,,,,,,,
3960000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_426_m_55_et._3588265789?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,2,42.6 м²,4.8 м²,31.9 м²,5 из 5,балкон,смежные,2.4 м,совмещенный,"во двор, на солнечную сторону",евро,свободная,возможна ипотека,панельный,5,нет,нет,детская площадка,открытая во дворе,,,кухня,1963,газ,,,,,,,,
6150000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_42_m_1415_et._7489601690?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,42 м²,14 м²,14 м²,14 из 15,,,2.7 м,совмещенный,во двор,дизайнерский,свободная,возможна ипотека,кирпичный,15,2,нет,,,,,,2018,,,,,,,есть,холодильник,
4850000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_351_m_324_et._7768877323?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,35.1 м²,4 м²,15 м²,3 из 24,,,,совмещенный,,косметический,свободная,,монолитный,24,,,"закрытая территория, детская площадка",,,,,2016,,,,,,,,,
6800000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_62_m_1522_et._7476598175?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,2,62 м²,10 м²,30 м²,15 из 22,лоджия,изолированные,2.6 м,совмещенный,во двор,косметический,свободная,возможна ипотека,монолитный,22,2,2,детская площадка,открытая во дворе,,от 266 000 ₽ за 62 м²,,2012,,,,,,,,,
4540000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_455_m_15_et._4458759874?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,2,45.5 м²,6 м²,30.3 м²,1 из 5,,изолированные,,раздельный,во двор,евро,свободная,возможна ипотека,кирпичный,5,нет,нет,"закрытая территория, детская площадка",за шлагбаумом во дворе,,,,1969,газ,,,,,,,,
5050000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_327_m_532_et._7645444524?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,32.7 м²,13.9 м²,,5 из 32,,,,совмещенный,,косметический,свободная,возможна ипотека,монолитный,32,,,,,,от 140 000 ₽ за 32.7 м²,,2024,,,,,,,,,
4013000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_286_m_28_et._7775952297?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,студия,28.6 м²,,19 м²,2 из 8,,,2.8 м,совмещенный,во двор,косметический,свободная,возможна ипотека,монолитный,8,1,1,"закрытая территория, детская площадка, спортивная площадка",,,от 123 000 ₽ за 28.6 м²,"кухня, спальные места",2018,,,,,,,,"холодильник, стиральная машина",
9500000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_783_m_912_et._7808110528?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,3,78.3 м²,10 м²,50 м²,9 из 12,лоджия,изолированные,2.5 м,раздельный,"во двор, на улицу",евро,свободная,возможна ипотека,панельный,12,1,1,,,,,,2001,,,,,,,,,
5200000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_406_m_414_et._7885318329?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,40.6 м²,11.8 м²,18.4 м²,4 из 14,лоджия,,2.6 м,совмещенный,"на улицу, на солнечную сторону",косметический,свободная,возможна ипотека,кирпичный,14,1,1,"детская площадка, спортивная площадка","подземная, открытая во дворе",,от 174 000 ₽ за 40.6 м²,"кухня, хранение одежды, спальные места",2009,,,,,,,,"холодильник, стиральная машина",
4550000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_456_m_15_et._7431711424?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,2,45.6 м²,6.1 м²,30.4 м²,1 из 5,,изолированные,,раздельный,во двор,евро,свободная,возможна ипотека,кирпичный,5,нет,нет,детская площадка,открытая во дворе,,,кухня,1967,газ,,,,,,,,
6750000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_29_m_2021_et._4439360250?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,студия,29 м²,,20 м²,20 из 21,лоджия,,,совмещенный,во двор,евро,свободная,возможна ипотека,монолитный,21,1,2,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,панорамные окна,,,2016,консьерж,,,,,,,,
10200000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_608_m_99_et._7760649783?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,3,60.8 м²,9.8 м²,37.2 м²,9 из 9,лоджия,изолированные,2.5 м,раздельный,"во двор, на улицу",евро,свободная,возможна ипотека,кирпичный,9,1,нет,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,,,,1989,газ,,,,,,есть,,
4250000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_33_m_49_et._7607192025?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,33 м²,8 м²,20 м²,4 из 9,балкон,,,совмещенный,во двор,косметический,свободная,,кирпичный,9,1,нет,детская площадка,открытая во дворе,,от 141 000 ₽ за 33 м²,,1972,газ,,,,,,,,
6000000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_323_m_1623_et._7807689466?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,32.3 м²,10.3 м²,10.3 м²,16 из 23,лоджия,,2.7 м,совмещенный,"во двор, на улицу",косметический,свободная,возможна ипотека,монолитно-кирпичный,23,1,1,,открытая во дворе,,,,2020,,,,,,,,,
2699000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_128_m_15_et._7831205743?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,студия,12.8 м²,,,1 из 5,,,,совмещенный,во двор,евро,свободная,возможна ипотека,панельный,5,нет,нет,детская площадка,открытая во дворе,,,"кухня, хранение одежды, спальные места",,,,,,,,,"холодильник, стиральная машина",
3700000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_344_m_25_et._7800091691?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,1,34.4 м²,4 м²,17 м²,2 из 5,балкон,,,раздельный,на солнечную сторону,косметический,свободная,возможна ипотека,кирпичный,5,,,,открытая во дворе,,от 147 000 ₽ за 34.4 м²,хранение одежды,,газ,,,,,,,,
4400000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_43_m_45_et._7744636377?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoT0hSQmlMVHRjdHFaaGx3Ijt9JRuVpz8AAAA,2,43 м²,6 м²,28 м²,4 из 5,балкон,изолированные,2.5 м,совмещенный,во двор,требует ремонта,свободная,возможна ипотека,панельный,5,,,,,,от 430 000 ₽ за 43 м²,,,,,,,,,,,
