iter	Passed	Remaining
298	5255	3286
299	5274	3270
300	5288	3250
301	5305	3232
302	5327	3217
303	5388	3226
304	5408	3209
305	5424	3190
306	5441	3172
307	5461	3156
308	5477	3137
309	5496	3120
310	5512	3101
311	5527	3082
312	5544	3064
313	5560	3046
314	5577	3027
315	5593	3008
316	5611	2991
317	5629	2973
318	5647	2956
319	5665	2939
320	5681	2920
321	5697	2901
322	5715	2884
323	5731	2865
324	5747	2847
325	5763	2828
326	5783	2812
327	5799	2793
328	5813	2774
329	5830	2756
330	5849	2739
331	5864	2720
332	5882	2702
333	5895	2682
334	5909	2663
335	5923	2644
336	5941	2626
337	5960	2609
338	5978	2592
339	5999	2576
340	6012	2556
341	6033	2540
342	6047	2521
343	6061	2502
344	6076	2483
345	6093	2465
346	6111	2448
347	6128	2430
348	6149	2413
349	6164	2395
350	6184	2378
351	6203	2361
352	6222	2344
353	6240	2326
354	6260	2310
355	6283	2294
356	6302	2277
357	6318	2259
358	6335	2241
359	6351	2223
360	6370	2205
361	6386	2187
362	6403	2169
363	6422	2152
364	6441	2135
365	6458	2117
366	6472	2098
367	6488	2080
368	6503	2062
369	6518	2043
370	6534	2025
371	6552	2008
372	6572	1991
373	6591	1974
374	6607	1955
375	6629	1939
376	6644	1921
377	6656	1901
378	6669	1882
379	6683	1864
380	6698	1845
381	6712	1827
382	6728	1809
383	6742	1791
384	6759	1773
385	6774	1755
386	6788	1736
387	6803	1718
388	6819	1700
389	6838	1683
390	6861	1667
391	6880	1649
392	6899	1632
393	6915	1614
394	6930	1596
395	6943	1578
396	6956	1559
397	6975	1542
398	6990	1524
399	7003	1505
400	7017	1487
401	7031	1469
402	7044	1450
403	7060	1433
404	7079	1415
405	7108	1400
406	7123	1382
407	7138	1364
408	7152	1346
409	7175	1330
410	7194	1312
411	7215	1295
412	7235	1278
413	7250	1260
414	7264	1242
415	7280	1225
416	7295	1207
417	7309	1189
418	7321	1170
419	7333	1152
420	7349	1134
421	7364	1116
422	7378	1098
423	7393	1081
424	7409	1063
425	7425	1045
426	7442	1028
427	7460	1011
428	7483	994
429	7504	977
430	7526	960
431	7547	943
432	7564	925
433	7578	908
434	7593	890
435	7606	872
436	7619	854
437	7632	836
438	7648	818
439	7665	801
440	7687	784
441	7705	767
442	7724	749
443	7744	732
444	7763	715
445	7780	697
446	7797	680
447	7811	662
448	7824	644
449	7838	627
450	7850	609
451	7863	591
452	7883	574
453	7903	557
454	7922	539
455	7942	522
456	7959	505
457	7976	487
458	7991	470
459	8007	452
460	8023	435
461	8038	417
462	8054	400
463	8072	382
464	8088	365
465	8105	347
466	8122	330
467	8139	313
468	8157	295
469	8175	278
470	8192	260
471	8209	243
472	8224	226
473	8242	208
474	8262	191
475	8276	173
476	8292	156
477	8306	139
478	8320	121
479	8337	104
480	8354	86
481	8372	69
482	8390	52
483	8406	34
484	8422	17
485	8436	0
