price,link,rooms,total_area,kitchen_area,floor,renovation,house_type,passenger_lift,cargo_lift,parking,city,floors_total,smart_floor_ratio,house_age,city_specific_age_group,age_city_premium,is_spb_historical
10500000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_19_et._7508301374?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,1,33.0,6.7,1,косметический,панельный,1,0,открытая во дворе,Москва,9,0.06666666666666667,52.0,мск_советская,1.0,0
24708935.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_446_m_1434_et._7724751689?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,44.6,20.5,14,косметический,монолитно-кирпичный,1,4,подземная,Москва,34,0.4117647058823529,13.0,мск_современная,1.0,0
11900000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_246_m_1030_et._7508966488?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,0,24.6,5.2,10,требует ремонта,монолитный,2,1,подземная,Москва,30,0.3333333333333333,3.0,мск_новостройка,1.6,0
20500000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_256_m_512_et._7721910938?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,0,25.6,5.4,5,дизайнерский,монолитно-кирпичный,1,1,подземная,Москва,12,0.4166666666666667,2.0,мск_новостройка,1.6,0
18200000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_57_m_1616_et._7654324605?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,57.0,10.0,16,косметический,монолитный,1,1,открытая во дворе,Москва,16,1.4,8.0,мск_современная,1.0,0
26000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_746_m_1414_et._7730567520?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,74.6,9.5,14,евро,панельный,2,0,открытая во дворе,Москва,14,1.4,52.0,мск_советская,1.0,0
10950000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_366_m_1324_et._7627864203?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,36.6,18.5,13,косметический,монолитно-кирпичный,2,1,открытая во дворе,Москва,24,0.5416666666666666,13.0,мск_современная,1.0,0
26950000.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_53_m_228_et._7839171551?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,53.0,5.0,2,дизайнерский,монолитный,2,2,подземная,Москва,28,0.07142857142857142,7.0,мск_современная,1.0,0
17650000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_342_m_524_et._7708913305?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,34.2,18.0,5,требует ремонта,монолитный,2,1,подземная,Москва,24,0.20833333333333334,1.0,мск_новостройка,1.6,0
13800000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_1217_et._7701820243?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,38.0,8.0,12,евро,панельный,2,0,открытая во дворе,Москва,17,0.7058823529411765,42.0,мск_советская,1.0,0
12850000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_383_m_1022_et._7675990062?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,38.3,10.4,10,косметический,панельный,1,1,открытая во дворе,Москва,22,0.45454545454545453,32.0,мск_советская,1.0,0
20517974.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_677_m_2225_et._7729590735?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,67.7,14.2,22,косметический,монолитный,2,1,открытая во дворе,Москва,25,0.88,8.0,мск_современная,1.0,0
10092432.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_294_m_2021_et._7741218298?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,0,29.4,6.2,20,косметический,монолитный,4,4,подземная,Москва,21,1.1428571428571428,8.0,мск_современная,1.0,0
20785500.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_766_m_55_et._7759652701?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,76.6,7.9,5,косметический,кирпичный,0,0,открытая во дворе,Москва,5,1.1,69.0,мск_старая,1.0,0
